,Регион_x_left,Год_x_left,Численность_населения_left,Регион_Год,Регион_y_left,Год_y_left,Смертность_детей_сельская_местность_left,Регион_left,Год_left,Смертность_детей_город_left,Регион_expense_left,Год_expense_left,Соцрасходы_left,Регион_income_left,Год_income_left,Доходы_left,Регион_grd_left,Год_grd_left,ВРП_left,Регион_extraction_left,Год_extraction_left,Полезные_ископаемые_left,Регион_processing_left,Год_processing_left,Обрабатывающее_производство_left,Регион_energy_left,Год_energy_left,Электроэнергия_left,Регион_water_left,Год_water_left,Водоснабжение_left,Регион_industrial_left,Год_industrial_left,Промышленность_left,Регион_retail_left,Год_retail_left,Розничная_торговля_left,Регион_drug_left,Год_drug_left,Наркомания_left,Регион_alco_left,Год_alco_left,Алкоголизм_left,Регион_newborn_left,Год_newborn_left,Новорожденные_left,Регион_total_crime_left,Год_total_crime_left,Общая_преступность_left,Регион_serious_crime_left,Год_serious_crime_left,Тяжелые_преступления_left,Регион_economic_crime_left,Год_economic_crime_left,Экономические_преступления_left,Регион_drug_crime_left,Год_drug_crime_left,Нарко_преступления_left,Регион_disabled_total_left,Год_disabled_total_left,Общее_число_инвалидов_left,Регион_disabled_18_30_left,Год_disabled_18_30_left,Число_инвалидов_18_30_left,Регион_disabled_31_40_left,Год_disabled_31_40_left,Число_инвалидов_31_40_left,Регион_disabled_41_50_left,Год_disabled_41_50_left,Число_инвалидов_41_50_left,Регион_disabled_51_60_left,Год_disabled_51_60_left,Число_инвалидов_51_60_left,Регион_disabled_60_left,Год_disabled_60_left,Число_инвалидов_60_left,Регион_poverty_left,Год_poverty_left,Бедные_left,Регион_children_left,Год_children_left,Малообеспеченные дети_left,Регион_working_left,Год_working_left,Малообеспеченные трудящиеся_left,Регион_elderly_long_left,Год_elderly_long_left,Малообеспеченные пенсионеры_left
0,Алтайский край,2016,2376774.0,Алтайский край_2016,Алтайский край,2016,87.0,Алтайский край,2016,124.0,Алтайский край,2016.0,20.4,Алтайский край,2016.0,21256.0,Алтайский край,2016.0,224525.8,Алтайский край,2016.0,4852175.4,Алтайский край,2016.0,265882785.23,Алтайский край,2016.0,45046977.27,Алтайский край,2016.0,8068621.4,Алтайский край,2016.0,367988195.7,Алтайский край,2016.0,20.4,Алтайский край,2016.0,17.4,Алтайский край,2016.0,100.1,Алтайский край,2016,28624.0,Алтайский край,2016,44576.0,Алтайский край,2016,1637.0,Алтайский край,2016,1052.0,Алтайский край,2016,3430.0,Алтайский край,2017.0,2016119.0,Алтайский край,2017.0,96278.0,Алтайский край,2017.0,151702.0,Алтайский край,2017.0,157077.0,Алтайский край,2017.0,330175.0,Алтайский край,2017.0,1280887.0,Алтайский край,2016.0,17.8,Алтайский край,2017.0,38.0,Алтайский край,2017.0,55.6,Алтайский край,2017.0,6.4
1,Амурская область,2016,805689.0,Амурская область_2016,Амурская область,2016,23.0,Амурская область,2016,30.0,Амурская область,2016.0,28.9,Амурская область,2016.0,27976.0,Амурская область,2016.0,370192.4,Амурская область,2016.0,64379100.3,Амурская область,2016.0,27898736.6,Амурская область,2016.0,33658987.3,Амурская область,2016.0,2880550.2,Амурская область,2016.0,134422073.8,Амурская область,2016.0,28.9,Амурская область,2016.0,18.9,Амурская область,2016.0,92.3,Амурская область,2016,10377.0,Амурская область,2016,18656.0,Амурская область,2016,482.0,Амурская область,2016,496.0,Амурская область,2016,1769.0,Алтайский край,2017.0,2016119.0,Алтайский край,2017.0,96278.0,Алтайский край,2017.0,151702.0,Алтайский край,2017.0,157077.0,Алтайский край,2017.0,330175.0,Алтайский край,2017.0,1280887.0,Амурская область,2016.0,17.0,Алтайский край,2017.0,38.0,Алтайский край,2017.0,55.6,Алтайский край,2017.0,6.4
2,Архангельская область,2016,2304318.0,Архангельская область_2016,Архангельская область,2016,35.0,Архангельская область,2016,125.0,Архангельская область,2016.0,16.3,Архангельская область,2016.0,61231.0,Архангельская область,2016.0,1010248.6,Архангельская область,2016.0,564681118.4000001,Архангельская область,2016.0,627366177.6,Архангельская область,2016.0,138909834.64,Архангельская область,2016.0,11055309.1,Архангельская область,2016.0,1002612534.1,Архангельская область,2016.0,16.3,Архангельская область,2016.0,4.0,Архангельская область,2016.0,77.6,Архангельская область,2016,27434.0,Архангельская область,2016,19994.0,Архангельская область,2016,781.0,Архангельская область,2016,954.0,Архангельская область,2016,898.0,Алтайский край,2017.0,2016119.0,Алтайский край,2017.0,96278.0,Алтайский край,2017.0,151702.0,Алтайский край,2017.0,157077.0,Алтайский край,2017.0,330175.0,Алтайский край,2017.0,1280887.0,Архангельская область,2016.0,15.2,Алтайский край,2017.0,38.0,Алтайский край,2017.0,55.6,Алтайский край,2017.0,6.4
3,Астраханская область,2016,1018626.0,Астраханская область_2016,Астраханская область,2016,21.0,Астраханская область,2016,61.0,Астраханская область,2016.0,20.5,Астраханская область,2016.0,22841.0,Астраханская область,2016.0,361704.8,Астраханская область,2016.0,137479662.7,Астраханская область,2016.0,61916666.4,Астраханская область,2016.0,28401900.1,Астраханская область,2016.0,4784234.19,Астраханская область,2016.0,313284869.19,Астраханская область,2016.0,20.5,Астраханская область,2016.0,2.3,Астраханская область,2016.0,61.8,Астраханская область,2016,14270.0,Астраханская область,2016,13893.0,Астраханская область,2016,874.0,Астраханская область,2016,820.0,Астраханская область,2016,2014.0,Алтайский край,2017.0,2016119.0,Алтайский край,2017.0,96278.0,Алтайский край,2017.0,151702.0,Алтайский край,2017.0,157077.0,Алтайский край,2017.0,330175.0,Алтайский край,2017.0,1280887.0,Астраханская область,2016.0,16.1,Алтайский край,2017.0,38.0,Алтайский край,2017.0,55.6,Алтайский край,2017.0,6.4
4,Белгородская область,2016,1550137.0,Белгородская область_2016,Белгородская область,2016,36.0,Белгородская область,2016,72.0,Белгородская область,2016.0,11.8,Белгородская область,2016.0,29799.0,Белгородская область,2016.0,501467.8,Белгородская область,2016.0,88929906.1,Белгородская область,2016.0,603881379.96,Белгородская область,2016.0,28225012.75,Белгородская область,2016.0,10614103.8,Белгородская область,2016.0,783325738.0,Белгородская область,2016.0,11.8,Белгородская область,2016.0,1.6,Белгородская область,2016.0,46.1,Белгородская область,2016,17261.0,Белгородская область,2016,13715.0,Белгородская область,2016,494.0,Белгородская область,2016,888.0,Белгородская область,2016,908.0,Алтайский край,2017.0,2016119.0,Алтайский край,2017.0,96278.0,Алтайский край,2017.0,151702.0,Алтайский край,2017.0,157077.0,Алтайский край,2017.0,330175.0,Алтайский край,2017.0,1280887.0,Белгородская область,2016.0,8.1,Алтайский край,2017.0,38.0,Алтайский край,2017.0,55.6,Алтайский край,2017.0,6.4
5,Брянская область,2016,1225741.0,Брянская область_2016,Брянская область,2016,36.0,Брянская область,2016,67.0,Брянская область,2016.0,26.6,Брянская область,2016.0,24006.0,Брянская область,2016.0,258752.7,Брянская область,2016.0,280672.3,Брянская область,2016.0,175557997.82,Брянская область,2016.0,16828772.5,Брянская область,2016.0,7347143.3,Брянская область,2016.0,214707621.5,Брянская область,2016.0,26.6,Брянская область,2016.0,13.2,Брянская область,2016.0,107.9,Брянская область,2016,13379.0,Брянская область,2016,15821.0,Брянская область,2016,626.0,Брянская область,2016,542.0,Брянская область,2016,1007.0,Алтайский край,2017.0,2016119.0,Алтайский край,2017.0,96278.0,Алтайский край,2017.0,151702.0,Алтайский край,2017.0,157077.0,Алтайский край,2017.0,330175.0,Алтайский край,2017.0,1280887.0,Брянская область,2016.0,14.4,Алтайский край,2017.0,38.0,Алтайский край,2017.0,55.6,Алтайский край,2017.0,6.4
6,Владимирская область,2016,1397168.0,Владимирская область_2016,Владимирская область,2016,28.0,Владимирская область,2016,72.0,Владимирская область,2016.0,18.0,Владимирская область,2016.0,22365.0,Владимирская область,2016.0,309713.7,Владимирская область,2016.0,3180328.6,Владимирская область,2016.0,411594159.61,Владимирская область,2016.0,36603516.27,Владимирская область,2016.0,9986624.8,Владимирская область,2016.0,453782355.79,Владимирская область,2016.0,18.0,Владимирская область,2016.0,10.7,Владимирская область,2016.0,75.7,Владимирская область,2016,15662.0,Владимирская область,2016,19138.0,Владимирская область,2016,880.0,Владимирская область,2016,1024.0,Владимирская область,2016,1343.0,Алтайский край,2017.0,2016119.0,Алтайский край,2017.0,96278.0,Алтайский край,2017.0,151702.0,Алтайский край,2017.0,157077.0,Алтайский край,2017.0,330175.0,Алтайский край,2017.0,1280887.0,Владимирская область,2016.0,14.6,Алтайский край,2017.0,38.0,Алтайский край,2017.0,55.6,Алтайский край,2017.0,6.4
7,Волгоградская область,2016,2545937.0,Волгоградская область_2016,Волгоградская область,2016,44.0,Волгоградская область,2016,121.0,Волгоградская область,2016.0,26.7,Волгоградская область,2016.0,21419.0,Волгоградская область,2016.0,324961.1,Волгоградская область,2016.0,45487289.75,Волгоградская область,2016.0,615925694.36,Волгоградская область,2016.0,63363990.78,Волгоградская область,2016.0,14640566.8,Волгоградская область,2016.0,853778382.1,Волгоградская область,2016.0,26.7,Волгоградская область,2016.0,6.0,Волгоградская область,2016.0,67.9,Волгоградская область,2016,28012.0,Волгоградская область,2016,38742.0,Волгоградская область,2016,1267.0,Волгоградская область,2016,1983.0,Волгоградская область,2016,1925.0,Алтайский край,2017.0,2016119.0,Алтайский край,2017.0,96278.0,Алтайский край,2017.0,151702.0,Алтайский край,2017.0,157077.0,Алтайский край,2017.0,330175.0,Алтайский край,2017.0,1280887.0,Волгоградская область,2016.0,14.4,Алтайский край,2017.0,38.0,Алтайский край,2017.0,55.6,Алтайский край,2017.0,6.4
8,Вологодская область,2016,1187685.0,Вологодская область_2016,Вологодская область,2016,39.0,Вологодская область,2016,65.0,Вологодская область,2016.0,21.4,Вологодская область,2016.0,26602.0,Вологодская область,2016.0,430041.5,Вологодская область,2016.0,554460.2,Вологодская область,2016.0,515013392.38,Вологодская область,2016.0,43212650.25,Вологодская область,2016.0,7871897.2,Вологодская область,2016.0,621394857.6,Вологодская область,2016.0,21.4,Вологодская область,2016.0,4.4,Вологодская область,2016.0,64.3,Вологодская область,2016,15729.0,Вологодская область,2016,25724.0,Вологодская область,2016,963.0,Вологодская область,2016,899.0,Вологодская область,2016,1554.0,Алтайский край,2017.0,2016119.0,Алтайский край,2017.0,96278.0,Алтайский край,2017.0,151702.0,Алтайский край,2017.0,157077.0,Алтайский край,2017.0,330175.0,Алтайский край,2017.0,1280887.0,Вологодская область,2016.0,13.8,Алтайский край,2017.0,38.0,Алтайский край,2017.0,55.6,Алтайский край,2017.0,6.4
9,Воронежская область,2016,2333477.0,Воронежская область_2016,Воронежская область,2016,24.0,Воронежская область,2016,96.0,Воронежская область,2016.0,15.4,Воронежская область,2016.0,29284.0,Воронежская область,2016.0,354657.9,Воронежская область,2016.0,5601161.95,Воронежская область,2016.0,414143512.46,Воронежская область,2016.0,64230792.22,Воронежская область,2016.0,12116144.9,Воронежская область,2016.0,529549775.7,Воронежская область,2016.0,15.4,Воронежская область,2016.0,20.1,Воронежская область,2016.0,97.1,Воронежская область,2016,24938.0,Воронежская область,2016,34370.0,Воронежская область,2016,1216.0,Воронежская область,2016,1444.0,Воронежская область,2016,2443.0,Алтайский край,2017.0,2016119.0,Алтайский край,2017.0,96278.0,Алтайский край,2017.0,151702.0,Алтайский край,2017.0,157077.0,Алтайский край,2017.0,330175.0,Алтайский край,2017.0,1280887.0,Воронежская область,2016.0,9.4,Алтайский край,2017.0,38.0,Алтайский край,2017.0,55.6,Алтайский край,2017.0,6.4
10,Еврейская автономная область,2016,166120.0,Еврейская автономная область_2016,Еврейская автономная область,2016,16.0,Еврейская автономная область,2016,19.0,Еврейская автономная область,2016.0,17.7,Еврейская автономная область,2016.0,23069.0,Еврейская автономная область,2016.0,294021.2,Еврейская автономная область,2016.0,1226747.1,Еврейская автономная область,2016.0,5214476.9,Еврейская автономная область,2016.0,4315495.67,Еврейская автономная область,2016.0,445536.3,Еврейская автономная область,2016.0,18991624.2,Еврейская автономная область,2016.0,17.7,Еврейская автономная область,2016.0,66.8,Еврейская автономная область,2016.0,137.9,Еврейская автономная область,2016,2213.0,Еврейская автономная область,2016,3424.0,Еврейская автономная область,2016,109.0,Еврейская автономная область,2016,137.0,Еврейская автономная область,2016,433.0,Алтайский край,2017.0,2016119.0,Алтайский край,2017.0,96278.0,Алтайский край,2017.0,151702.0,Алтайский край,2017.0,157077.0,Алтайский край,2017.0,330175.0,Алтайский край,2017.0,1280887.0,Еврейская автономная область,2016.0,25.5,Алтайский край,2017.0,38.0,Алтайский край,2017.0,55.6,Алтайский край,2017.0,6.4
11,Забайкальский край,2016,3459786.0,Забайкальский край_2016,Забайкальский край,2016,62.0,Забайкальский край,2016,128.0,Забайкальский край,2016.0,17.2,Забайкальский край,2016.0,22080.0,Забайкальский край,2016.0,258225.0,Забайкальский край,2016.0,157872830.7,Забайкальский край,2016.0,49808309.1,Забайкальский край,2016.0,64177718.6,Забайкальский край,2016.0,2841751.5,Забайкальский край,2016.0,142479623.0,Забайкальский край,2016.0,17.2,Забайкальский край,2016.0,5.5,Забайкальский край,2016.0,110.7,Забайкальский край,2016,17704.0,Забайкальский край,2016,29658.0,Забайкальский край,2016,691.0,Забайкальский край,2016,1140.0,Забайкальский край,2016,1419.0,Алтайский край,2017.0,2016119.0,Алтайский край,2017.0,96278.0,Алтайский край,2017.0,151702.0,Алтайский край,2017.0,157077.0,Алтайский край,2017.0,330175.0,Алтайский край,2017.0,1280887.0,Забайкальский край,2016.0,22.1,Алтайский край,2017.0,38.0,Алтайский край,2017.0,55.6,Алтайский край,2017.0,6.4
12,Ивановская область,2016,1029838.0,Ивановская область_2016,Ивановская область,2016,15.0,Ивановская область,2016,51.0,Ивановская область,2016.0,28.9,Ивановская область,2016.0,23676.0,Ивановская область,2016.0,200504.4,Ивановская область,2016.0,891811.4,Ивановская область,2016.0,119270384.0,Ивановская область,2016.0,30806662.2,Ивановская область,2016.0,4285184.6,Ивановская область,2016.0,170378487.3,Ивановская область,2016.0,28.9,Ивановская область,2016.0,3.8,Ивановская область,2016.0,88.6,Ивановская область,2016,11184.0,Ивановская область,2016,14405.0,Ивановская область,2016,627.0,Ивановская область,2016,667.0,Ивановская область,2016,906.0,Алтайский край,2017.0,2016119.0,Алтайский край,2017.0,96278.0,Алтайский край,2017.0,151702.0,Алтайский край,2017.0,157077.0,Алтайский край,2017.0,330175.0,Алтайский край,2017.0,1280887.0,Ивановская область,2016.0,14.9,Алтайский край,2017.0,38.0,Алтайский край,2017.0,55.6,Алтайский край,2017.0,6.4
13,Иркутская область,2016,5130427.0,Иркутская область_2016,Иркутская область,2016,144.0,Иркутская область,2016,304.0,Иркутская область,2016.0,15.3,Иркутская область,2016.0,22510.0,Иркутская область,2016.0,472533.3,Иркутская область,2016.0,848648026.29,Иркутская область,2016.0,939453416.79,Иркутская область,2016.0,212067000.47,Иркутская область,2016.0,14309206.4,Иркутская область,2016.0,1063132681.1,Иркутская область,2016.0,15.3,Иркутская область,2016.0,17.9,Иркутская область,2016.0,104.8,Иркутская область,2016,38316.0,Иркутская область,2016,47009.0,Иркутская область,2016,1394.0,Иркутская область,2016,1452.0,Иркутская область,2016,2770.0,Алтайский край,2017.0,2016119.0,Алтайский край,2017.0,96278.0,Алтайский край,2017.0,151702.0,Алтайский край,2017.0,157077.0,Алтайский край,2017.0,330175.0,Алтайский край,2017.0,1280887.0,Иркутская область,2016.0,20.0,Алтайский край,2017.0,38.0,Алтайский край,2017.0,55.6,Алтайский край,2017.0,6.4
14,Кабардино-Балкарская Республика,2016,862254.0,Кабардино-Балкарская Республика_2016,Кабардино-Балкарская Республика,2016,37.0,Кабардино-Балкарская Республика,2016,45.0,Кабардино-Балкарская Республика,2016.0,14.8,Кабардино-Балкарская Республика,2016.0,19767.0,Кабардино-Балкарская Республика,2016.0,177182.0,Кабардино-Балкарская Республика,2016.0,348451.73,Кабардино-Балкарская Республика,2016.0,32883290.47,Кабардино-Балкарская Республика,2016.0,8526542.4,Кабардино-Балкарская Республика,2016.0,1069012.4,Кабардино-Балкарская Республика,2016.0,37888112.8,Кабардино-Балкарская Республика,2016.0,14.8,Кабардино-Балкарская Республика,2016.0,12.8,Кабардино-Балкарская Республика,2016.0,81.0,Кабардино-Балкарская Республика,2016,12103.0,Кабардино-Балкарская Республика,2016,7671.0,Кабардино-Балкарская Республика,2016,344.0,Кабардино-Балкарская Республика,2016,1000.0,Кабардино-Балкарская Республика,2016,1095.0,Алтайский край,2017.0,2016119.0,Алтайский край,2017.0,96278.0,Алтайский край,2017.0,151702.0,Алтайский край,2017.0,157077.0,Алтайский край,2017.0,330175.0,Алтайский край,2017.0,1280887.0,Кабардино-Балкарская Республика,2016.0,25.8,Алтайский край,2017.0,38.0,Алтайский край,2017.0,55.6,Алтайский край,2017.0,6.4
15,Калининградская область,2016,976439.0,Калининградская область_2016,Калининградская область,2016,8.0,Калининградская область,2016,47.0,Калининградская область,2016.0,8.4,Калининградская область,2016.0,25663.0,Калининградская область,2016.0,425021.5,Калининградская область,2016.0,14843351.6,Калининградская область,2016.0,424135858.38,Калининградская область,2016.0,26571986.86,Калининградская область,2016.0,6013155.9,Калининградская область,2016.0,517165337.8,Калининградская область,2016.0,8.4,Калининградская область,2016.0,6.5,Калининградская область,2016.0,83.6,Калининградская область,2016,12179.0,Калининградская область,2016,13224.0,Калининградская область,2016,511.0,Калининградская область,2016,754.0,Калининградская область,2016,828.0,Алтайский край,2017.0,2016119.0,Алтайский край,2017.0,96278.0,Алтайский край,2017.0,151702.0,Алтайский край,2017.0,157077.0,Алтайский край,2017.0,330175.0,Алтайский край,2017.0,1280887.0,Калининградская область,2016.0,14.1,Алтайский край,2017.0,38.0,Алтайский край,2017.0,55.6,Алтайский край,2017.0,6.4
16,Калужская область,2016,1009772.0,Калужская область_2016,Калужская область,2016,13.0,Калужская область,2016,74.0,Калужская область,2016.0,20.0,Калужская область,2016.0,28800.0,Калужская область,2016.0,404538.6,Калужская область,2016.0,2810632.65,Калужская область,2016.0,517016154.65,Калужская область,2016.0,21474898.2,Калужская область,2016.0,8463450.1,Калужская область,2016.0,708041046.9,Калужская область,2016.0,20.0,Калужская область,2016.0,9.0,Калужская область,2016.0,68.2,Калужская область,2016,12268.0,Калужская область,2016,16193.0,Калужская область,2016,826.0,Калужская область,2016,638.0,Калужская область,2016,985.0,Алтайский край,2017.0,2016119.0,Алтайский край,2017.0,96278.0,Алтайский край,2017.0,151702.0,Алтайский край,2017.0,157077.0,Алтайский край,2017.0,330175.0,Алтайский край,2017.0,1280887.0,Калужская область,2016.0,10.3,Алтайский край,2017.0,38.0,Алтайский край,2017.0,55.6,Алтайский край,2017.0,6.4
17,Камчатский край,2016,316116.0,Камчатский край_2016,Камчатский край,2016,14.0,Камчатский край,2016,60.0,Камчатский край,2016.0,12.6,Камчатский край,2016.0,43849.0,Камчатский край,2016.0,710448.2,Камчатский край,2016.0,42676132.3,Камчатский край,2016.0,178462974.17000002,Камчатский край,2016.0,41075536.620000005,Камчатский край,2016.0,2554609.2,Камчатский край,2016.0,143431472.9,Камчатский край,2016.0,12.6,Камчатский край,2016.0,10.1,Камчатский край,2016.0,75.0,Камчатский край,2016,4319.0,Камчатский край,2016,5858.0,Камчатский край,2016,334.0,Камчатский край,2016,282.0,Камчатский край,2016,575.0,Алтайский край,2017.0,2016119.0,Алтайский край,2017.0,96278.0,Алтайский край,2017.0,151702.0,Алтайский край,2017.0,157077.0,Алтайский край,2017.0,330175.0,Алтайский край,2017.0,1280887.0,Камчатский край,2016.0,17.7,Алтайский край,2017.0,38.0,Алтайский край,2017.0,55.6,Алтайский край,2017.0,6.4
18,Карачаево-Черкесская Республика,2016,467797.0,Карачаево-Черкесская Республика_2016,Карачаево-Черкесская Республика,2016,35.0,Карачаево-Черкесская Республика,2016,15.0,Карачаево-Черкесская Республика,2016.0,15.8,Карачаево-Черкесская Республика,2016.0,17638.0,Карачаево-Черкесская Республика,2016.0,168098.1,Карачаево-Черкесская Республика,2016.0,2682004.3,Карачаево-Черкесская Республика,2016.0,30014234.0,Карачаево-Черкесская Республика,2016.0,5860981.1,Карачаево-Черкесская Республика,2016.0,990595.0,Карачаево-Черкесская Республика,2016.0,47997088.2,Карачаево-Черкесская Республика,2016.0,15.8,Карачаево-Черкесская Республика,2016.0,4.9,Карачаево-Черкесская Республика,2016.0,33.9,Карачаево-Черкесская Республика,2016,5489.0,Карачаево-Черкесская Республика,2016,3519.0,Карачаево-Черкесская Республика,2016,170.0,Карачаево-Черкесская Республика,2016,404.0,Карачаево-Черкесская Республика,2016,641.0,Алтайский край,2017.0,2016119.0,Алтайский край,2017.0,96278.0,Алтайский край,2017.0,151702.0,Алтайский край,2017.0,157077.0,Алтайский край,2017.0,330175.0,Алтайский край,2017.0,1280887.0,Карачаево-Черкесская Республика,2016.0,23.8,Алтайский край,2017.0,38.0,Алтайский край,2017.0,55.6,Алтайский край,2017.0,6.4
19,Кемеровская область - Кузбасс,2016,2717627.0,Кемеровская область - Кузбасс_2016,Кемеровская область - Кузбасс,2016,45.0,Кемеровская область - Кузбасс,2016,195.0,Кемеровская область - Кузбасс,2016.0,16.8,Кемеровская область - Кузбасс,2016.0,21345.0,Кемеровская область - Кузбасс,2016.0,332941.6,Кемеровская область - Кузбасс,2016.0,658775874.9,Кемеровская область - Кузбасс,2016.0,475009093.37,Кемеровская область - Кузбасс,2016.0,95620116.93,Кемеровская область - Кузбасс,2016.0,17250827.2,Кемеровская область - Кузбасс,2016.0,1558766598.45,Кемеровская область - Кузбасс,2016.0,16.8,Кемеровская область - Кузбасс,2016.0,17.8,Кемеровская область - Кузбасс,2016.0,54.5,Кемеровская область - Кузбасс,2016,32986.0,Кемеровская область - Кузбасс,2016,58414.0,Кемеровская область - Кузбасс,2016,2478.0,Кемеровская область - Кузбасс,2016,1383.0,Кемеровская область - Кузбасс,2016,5522.0,Алтайский край,2017.0,2016119.0,Алтайский край,2017.0,96278.0,Алтайский край,2017.0,151702.0,Алтайский край,2017.0,157077.0,Алтайский край,2017.0,330175.0,Алтайский край,2017.0,1280887.0,Кемеровская область - Кузбасс,2016.0,15.8,Алтайский край,2017.0,38.0,Алтайский край,2017.0,55.6,Алтайский край,2017.0,6.4
20,Кировская область,2016,1297474.0,Кировская область_2016,Кировская область,2016,23.0,Кировская область,2016,58.0,Кировская область,2016.0,18.4,Кировская область,2016.0,21317.0,Кировская область,2016.0,242189.8,Кировская область,2016.0,1203352.6,Кировская область,2016.0,193715128.65,Кировская область,2016.0,39842331.3,Кировская область,2016.0,4776300.7,Кировская область,2016.0,245087692.9,Кировская область,2016.0,18.4,Кировская область,2016.0,3.7,Кировская область,2016.0,65.4,Кировская область,2016,16347.0,Кировская область,2016,21750.0,Кировская область,2016,810.0,Кировская область,2016,996.0,Кировская область,2016,1373.0,Алтайский край,2017.0,2016119.0,Алтайский край,2017.0,96278.0,Алтайский край,2017.0,151702.0,Алтайский край,2017.0,157077.0,Алтайский край,2017.0,330175.0,Алтайский край,2017.0,1280887.0,Кировская область,2016.0,15.9,Алтайский край,2017.0,38.0,Алтайский край,2017.0,55.6,Алтайский край,2017.0,6.4
21,Костромская область,2016,651450.0,Костромская область_2016,Костромская область,2016,21.0,Костромская область,2016,38.0,Костромская область,2016.0,15.2,Костромская область,2016.0,23174.0,Костромская область,2016.0,261963.8,Костромская область,2016.0,331505.4,Костромская область,2016.0,106428629.8,Костромская область,2016.0,36590073.4,Костромская область,2016.0,3100676.4,Костромская область,2016.0,161309531.88,Костромская область,2016.0,15.2,Костромская область,2016.0,7.4,Костромская область,2016.0,78.3,Костромская область,2016,7836.0,Костромская область,2016,8778.0,Костромская область,2016,526.0,Костромская область,2016,578.0,Костромская область,2016,894.0,Алтайский край,2017.0,2016119.0,Алтайский край,2017.0,96278.0,Алтайский край,2017.0,151702.0,Алтайский край,2017.0,157077.0,Алтайский край,2017.0,330175.0,Алтайский край,2017.0,1280887.0,Костромская область,2016.0,13.7,Алтайский край,2017.0,38.0,Алтайский край,2017.0,55.6,Алтайский край,2017.0,6.4
22,Краснодарский край,2016,5513804.0,Краснодарский край_2016,Краснодарский край,2016,161.0,Краснодарский край,2016,205.0,Краснодарский край,2016.0,16.1,Краснодарский край,2016.0,32857.0,Краснодарский край,2016.0,407239.7,Краснодарский край,2016.0,39582697.4,Краснодарский край,2016.0,825465070.3,Краснодарский край,2016.0,119759215.3,Краснодарский край,2016.0,28503567.7,Краснодарский край,2016.0,1115520237.5,Краснодарский край,2016.0,16.1,Краснодарский край,2016.0,4.3,Краснодарский край,2016.0,45.6,Краснодарский край,2016,73846.0,Краснодарский край,2016,71509.0,Краснодарский край,2016,2491.0,Краснодарский край,2016,4461.0,Краснодарский край,2016,7564.0,Алтайский край,2017.0,2016119.0,Алтайский край,2017.0,96278.0,Алтайский край,2017.0,151702.0,Алтайский край,2017.0,157077.0,Алтайский край,2017.0,330175.0,Алтайский край,2017.0,1280887.0,Краснодарский край,2016.0,11.6,Алтайский край,2017.0,38.0,Алтайский край,2017.0,55.6,Алтайский край,2017.0,6.4
23,Красноярский край,2016,2866490.0,Красноярский край_2016,Красноярский край,2016,252.0,Красноярский край,2016,462.0,Красноярский край,2016.0,15.4,Красноярский край,2016.0,27885.0,Красноярский край,2016.0,634610.4,Красноярский край,2016.0,955996933.5,Красноярский край,2016.0,1931575968.51,Красноярский край,2016.0,327682825.95000005,Красноярский край,2016.0,28897892.8,Красноярский край,2016.0,1735724524.5,Красноярский край,2016.0,15.4,Красноярский край,2016.0,20.0,Красноярский край,2016.0,102.6,Красноярский край,2016,41649.0,Красноярский край,2016,57248.0,Красноярский край,2016,3300.0,Красноярский край,2016,1668.0,Красноярский край,2016,5499.0,Алтайский край,2017.0,2016119.0,Алтайский край,2017.0,96278.0,Алтайский край,2017.0,151702.0,Алтайский край,2017.0,157077.0,Алтайский край,2017.0,330175.0,Алтайский край,2017.0,1280887.0,Красноярский край,2016.0,18.4,Алтайский край,2017.0,38.0,Алтайский край,2017.0,55.6,Алтайский край,2017.0,6.4
24,Курганская область,2016,861896.0,Курганская область_2016,Курганская область,2016,39.0,Курганская область,2016,34.0,Курганская область,2016.0,16.8,Курганская область,2016.0,20175.0,Курганская область,2016.0,235547.8,Курганская область,2016.0,3492744.4,Курганская область,2016.0,93561398.17,Курганская область,2016.0,21360640.42,Курганская область,2016.0,2856232.97,Курганская область,2016.0,123381127.78,Курганская область,2016.0,16.8,Курганская область,2016.0,20.1,Курганская область,2016.0,98.2,Курганская область,2016,10696.0,Курганская область,2016,19353.0,Курганская область,2016,946.0,Курганская область,2016,728.0,Курганская область,2016,1466.0,Алтайский край,2017.0,2016119.0,Алтайский край,2017.0,96278.0,Алтайский край,2017.0,151702.0,Алтайский край,2017.0,157077.0,Алтайский край,2017.0,330175.0,Алтайский край,2017.0,1280887.0,Курганская область,2016.0,19.7,Алтайский край,2017.0,38.0,Алтайский край,2017.0,55.6,Алтайский край,2017.0,6.4
25,Курская область,2016,1120019.0,Курская область_2016,Курская область,2016,32.0,Курская область,2016,43.0,Курская область,2016.0,17.7,Курская область,2016.0,25355.0,Курская область,2016.0,337963.6,Курская область,2016.0,49179984.2,Курская область,2016.0,167196610.05,Курская область,2016.0,59149956.8,Курская область,2016.0,4582104.4,Курская область,2016.0,308773630.1,Курская область,2016.0,17.7,Курская область,2016.0,8.3,Курская область,2016.0,89.8,Курская область,2016,12366.0,Курская область,2016,12190.0,Курская область,2016,518.0,Курская область,2016,636.0,Курская область,2016,981.0,Алтайский край,2017.0,2016119.0,Алтайский край,2017.0,96278.0,Алтайский край,2017.0,151702.0,Алтайский край,2017.0,157077.0,Алтайский край,2017.0,330175.0,Алтайский край,2017.0,1280887.0,Курская область,2016.0,10.5,Алтайский край,2017.0,38.0,Алтайский край,2017.0,55.6,Алтайский край,2017.0,6.4
