,Регион_x_left,Год_x_left,Численность_населения_left,Регион_Год,Регион_y_left,Год_y_left,Смертность_детей_сельская_местность_left,Регион_left,Год_left,Смертность_детей_город_left,Регион_expense_left,Год_expense_left,Соцрасходы_left,Регион_income_left,Год_income_left,Доходы_left,Регион_grd_left,Год_grd_left,ВРП_left,Регион_extraction_left,Год_extraction_left,Полезные_ископаемые_left,Регион_processing_left,Год_processing_left,Обрабатывающее_производство_left,Регион_energy_left,Год_energy_left,Электроэнергия_left,Регион_water_left,Год_water_left,Водоснабжение_left,Регион_industrial_left,Год_industrial_left,Промышленность_left,Регион_retail_left,Год_retail_left,Розничная_торговля_left,Регион_drug_left,Год_drug_left,Наркомания_left,Регион_alco_left,Год_alco_left,Алкоголизм_left,Регион_newborn_left,Год_newborn_left,Новорожденные_left,Регион_total_crime_left,Год_total_crime_left,Общая_преступность_left,Регион_serious_crime_left,Год_serious_crime_left,Тяжелые_преступления_left,Регион_economic_crime_left,Год_economic_crime_left,Экономические_преступления_left,Регион_drug_crime_left,Год_drug_crime_left,Нарко_преступления_left,Регион_disabled_total_left,Год_disabled_total_left,Общее_число_инвалидов_left,Регион_disabled_18_30_left,Год_disabled_18_30_left,Число_инвалидов_18_30_left,Регион_disabled_31_40_left,Год_disabled_31_40_left,Число_инвалидов_31_40_left,Регион_disabled_41_50_left,Год_disabled_41_50_left,Число_инвалидов_41_50_left,Регион_disabled_51_60_left,Год_disabled_51_60_left,Число_инвалидов_51_60_left,Регион_disabled_60_left,Год_disabled_60_left,Число_инвалидов_60_left,Регион_poverty_left,Год_poverty_left,Бедные_left,Регион_children_left,Год_children_left,Малообеспеченные дети_left,Регион_working_left,Год_working_left,Малообеспеченные трудящиеся_left,Регион_elderly_long_left,Год_elderly_long_left,Малообеспеченные пенсионеры_left
382,Псковская область,2020,626115.0,Псковская область_2020,Псковская область,2020,10.0,Псковская область,2020,10.0,Псковская область,2020.0,24.7,Псковская область,2020.0,26436.0,Псковская область,2020.0,325659.6,Псковская область,2020.0,2401920.1,Псковская область,2020.0,122905954.9,Псковская область,2020.0,12002802.0,Псковская область,2020.0,5413324.7,Псковская область,2020.0,142724001.7,Псковская область,2020.0,24.7,,,,,,,Псковская область,2020,4995.0,Псковская область,2020,9031.0,Псковская область,2020,1227.0,Псковская область,2020,450.0,Псковская область,2020,1403.0,Псковская область,2020.0,564854.0,Псковская область,2020.0,24973.0,Псковская область,2020.0,44738.0,Псковская область,2020.0,55845.0,Псковская область,2020.0,89790.0,Псковская область,2020.0,349508.0,Псковская область,2020.0,16.2,Псковская область,2020.0,29.6,Псковская область,2020.0,61.0,Псковская область,2020.0,9.3
383,Республика Адыгея,2020,463088.0,Республика Адыгея_2020,Республика Адыгея,2020,7.0,Республика Адыгея,2020,7.0,Республика Адыгея,2020.0,20.2,Республика Адыгея,2020.0,30293.0,Республика Адыгея,2020.0,309184.1,Республика Адыгея,2020.0,2422944.4,Республика Адыгея,2020.0,51784957.4,Республика Адыгея,2020.0,4870689.2,Республика Адыгея,2020.0,1934553.5,Республика Адыгея,2020.0,61013144.5,Республика Адыгея,2020.0,20.2,,,,,,,Республика Адыгея,2020,4418.0,Республика Адыгея,2020,4123.0,Республика Адыгея,2020,166.0,Республика Адыгея,2020,344.0,Республика Адыгея,2020,302.0,Республика Адыгея,2020.0,392595.0,Республика Адыгея,2020.0,17213.0,Республика Адыгея,2020.0,28664.0,Республика Адыгея,2020.0,44141.0,Республика Адыгея,2020.0,79316.0,Республика Адыгея,2020.0,223261.0,Республика Адыгея,2020.0,12.5,Республика Адыгея,2020.0,44.6,Республика Адыгея,2020.0,50.1,Республика Адыгея,2020.0,5.4
384,Республика Алтай,2020,220181.0,Республика Алтай_2020,Республика Алтай,2020,21.0,Республика Алтай,2020,1.0,Республика Алтай,2020.0,19.8,Республика Алтай,2020.0,21677.0,Республика Алтай,2020.0,283451.4,Республика Алтай,2020.0,851450.2,Республика Алтай,2020.0,4534270.1,Республика Алтай,2020.0,2739793.3,Республика Алтай,2020.0,586150.7,Республика Алтай,2020.0,8711664.3,Республика Алтай,2020.0,19.8,,,,,,,Республика Алтай,2020,2955.0,Республика Алтай,2020,4761.0,Республика Алтай,2020,118.0,Республика Алтай,2020,154.0,Республика Алтай,2020,280.0,Республика Алтай,2020.0,252918.0,Республика Алтай,2020.0,10789.0,Республика Алтай,2020.0,20116.0,Республика Алтай,2020.0,25595.0,Республика Алтай,2020.0,40627.0,Республика Алтай,2020.0,155791.0,Республика Алтай,2020.0,23.8,Республика Алтай,2020.0,44.5,Республика Алтай,2020.0,52.6,Республика Алтай,2020.0,2.9
385,Республика Башкортостан,2020,4038151.0,Республика Башкортостан_2020,Республика Башкортостан,2020,125.0,Республика Башкортостан,2020,113.0,Республика Башкортостан,2020.0,22.4,Республика Башкортостан,2020.0,30249.0,Республика Башкортостан,2020.0,425161.0,Республика Башкортостан,2020.0,212923273.0,Республика Башкортостан,2020.0,1165509906.51,Республика Башкортостан,2020.0,137740536.7,Республика Башкортостан,2020.0,28160337.9,Республика Башкортостан,2020.0,1544334054.11,Республика Башкортостан,2020.0,22.4,,,,,,,Республика Башкортостан,2020,40903.0,Республика Башкортостан,2020,55883.0,Республика Башкортостан,2020,3406.0,Республика Башкортостан,2020,2586.0,Республика Башкортостан,2020,5630.0,Республика Башкортостан,2020.0,2954749.0,Республика Башкортостан,2020.0,132016.0,Республика Башкортостан,2020.0,200299.0,Республика Башкортостан,2020.0,246909.0,Республика Башкортостан,2020.0,484656.0,Республика Башкортостан,2020.0,1890869.0,Республика Башкортостан,2020.0,11.6,Республика Башкортостан,2020.0,40.1,Республика Башкортостан,2020.0,55.4,Республика Башкортостан,2020.0,4.5
386,Республика Бурятия,2020,985937.0,Республика Бурятия_2020,Республика Бурятия,2020,29.0,Республика Бурятия,2020,40.0,Республика Бурятия,2020.0,25.5,Республика Бурятия,2020.0,26092.0,Республика Бурятия,2020.0,307558.8,Республика Бурятия,2020.0,48765852.6,Республика Бурятия,2020.0,97767864.62,Республика Бурятия,2020.0,26559640.3,Республика Бурятия,2020.0,3249746.5,Республика Бурятия,2020.0,176343104.02,Республика Бурятия,2020.0,25.5,,,,,,,Республика Бурятия,2020,12620.0,Республика Бурятия,2020,20639.0,Республика Бурятия,2020,490.0,Республика Бурятия,2020,529.0,Республика Бурятия,2020,1356.0,Республика Бурятия,2020.0,893979.0,Республика Бурятия,2020.0,51152.0,Республика Бурятия,2020.0,87673.0,Республика Бурятия,2020.0,100615.0,Республика Бурятия,2020.0,155401.0,Республика Бурятия,2020.0,499138.0,Республика Бурятия,2020.0,19.9,Республика Бурятия,2020.0,41.7,Республика Бурятия,2020.0,54.6,Республика Бурятия,2020.0,3.7
387,Республика Дагестан,2020,3110858.0,Республика Дагестан_2020,Республика Дагестан,2020,181.0,Республика Дагестан,2020,136.0,Республика Дагестан,2020.0,28.3,Республика Дагестан,2020.0,27661.0,Республика Дагестан,2020.0,239640.7,Республика Дагестан,2020.0,4280095.7,Республика Дагестан,2020.0,43722489.4,Республика Дагестан,2020.0,17750862.4,Республика Дагестан,2020.0,1838720.3,Республика Дагестан,2020.0,67592167.8,Республика Дагестан,2020.0,28.3,,,,,,,Республика Дагестан,2020,46506.0,Республика Дагестан,2020,14143.0,Республика Дагестан,2020,1019.0,Республика Дагестан,2020,2011.0,Республика Дагестан,2020,2786.0,Республика Дагестан,2020.0,3665615.0,Республика Дагестан,2020.0,432051.0,Республика Дагестан,2020.0,539447.0,Республика Дагестан,2020.0,709445.0,Республика Дагестан,2020.0,951850.0,Республика Дагестан,2020.0,1032822.0,Республика Дагестан,2020.0,14.8,Республика Дагестан,2020.0,38.3,Республика Дагестан,2020.0,56.7,Республика Дагестан,2020.0,5.0
388,Республика Ингушетия,2020,507061.0,Республика Ингушетия_2020,Республика Ингушетия,2020,23.0,Республика Ингушетия,2020,24.0,Республика Ингушетия,2020.0,32.5,Республика Ингушетия,2020.0,16877.0,Республика Ингушетия,2020.0,142199.7,Республика Ингушетия,2020.0,920378.4,Республика Ингушетия,2020.0,2146473.6,Республика Ингушетия,2020.0,384177.0,Республика Ингушетия,2020.0,826476.4,Республика Ингушетия,2020.0,4277505.4,Республика Ингушетия,2020.0,32.5,,,,,,,Республика Ингушетия,2020,8463.0,Республика Ингушетия,2020,1909.0,Республика Ингушетия,2020,173.0,Республика Ингушетия,2020,232.0,Республика Ингушетия,2020,308.0,Республика Ингушетия,2020.0,698460.0,Республика Ингушетия,2020.0,82856.0,Республика Ингушетия,2020.0,86704.0,Республика Ингушетия,2020.0,154162.0,Республика Ингушетия,2020.0,198499.0,Республика Ингушетия,2020.0,176239.0,Республика Ингушетия,2020.0,30.0,Республика Ингушетия,2020.0,38.1,Республика Ингушетия,2020.0,51.3,Республика Ингушетия,2020.0,10.6
389,Республика Калмыкия,2020,271135.0,Республика Калмыкия_2020,Республика Калмыкия,2020,5.0,Республика Калмыкия,2020,3.0,Республика Калмыкия,2020.0,24.3,Республика Калмыкия,2020.0,19811.0,Республика Калмыкия,2020.0,344933.1,Республика Калмыкия,2020.0,1569731.7,Республика Калмыкия,2020.0,604967.3,Республика Калмыкия,2020.0,4114195.2,Республика Карелия,2020.0,4334907.2,Республика Калмыкия,2020.0,6619456.4,Республика Калмыкия,2020.0,24.3,,,,,,,Республика Калмыкия,2020,2772.0,Республика Калмыкия,2020,2867.0,Республика Калмыкия,2020,88.0,Республика Калмыкия,2020,281.0,Республика Калмыкия,2020,255.0,Республика Калмыкия,2020.0,254762.0,Республика Калмыкия,2020.0,20741.0,Республика Калмыкия,2020.0,23695.0,Республика Калмыкия,2020.0,25869.0,Республика Калмыкия,2020.0,55699.0,Республика Калмыкия,2020.0,128758.0,Республика Калмыкия,2020.0,22.7,Республика Калмыкия,2020.0,33.8,Республика Калмыкия,2020.0,65.9,Республика Калмыкия,2020.0,0.3
390,Республика Карелия,2020,614064.0,Республика Карелия_2020,Республика Карелия,2020,4.0,Республика Карелия,2020,19.0,Республика Карелия,2020.0,24.2,Республика Карелия,2020.0,32583.0,Республика Карелия,2020.0,522245.3,Республика Карелия,2020.0,88083157.0,Республика Карелия,2020.0,126255184.93,Республика Карелия,2020.0,26728754.5,Республика Карелия,2020.0,4334907.2,Республика Карелия,2020.0,245402003.63,Республика Карелия,2020.0,24.2,,,,,,,Республика Карелия,2020,5199.0,Республика Карелия,2020,13449.0,Республика Карелия,2020,536.0,Республика Карелия,2020,440.0,Республика Карелия,2020,615.0,Республика Карелия,2020.0,719837.0,Республика Карелия,2020.0,23996.0,Республика Карелия,2020.0,39248.0,Республика Карелия,2020.0,53454.0,Республика Карелия,2020.0,89995.0,Республика Карелия,2020.0,513144.0,Республика Карелия,2020.0,15.1,Республика Карелия,2020.0,39.0,Республика Карелия,2020.0,58.1,Республика Карелия,2020.0,3.0
391,Республика Коми,2020,820473.0,Республика Коми_2020,Республика Коми,2020,4.0,Республика Коми,2020,14.0,Республика Коми,2020.0,22.7,Республика Коми,2020.0,36677.0,Республика Коми,2020.0,749219.3,Республика Коми,2020.0,303708239.3,Республика Коми,2020.0,190136442.48,Республика Коми,2020.0,42455955.55,Республика Коми,2020.0,8915997.3,Республика Коми,2020.0,545216634.63,Республика Коми,2020.0,22.7,,,,,,,Республика Коми,2020,7576.0,Республика Коми,2020,17204.0,Республика Коми,2020,692.0,Республика Коми,2020,627.0,Республика Коми,2020,1337.0,Республика Коми,2020.0,734197.0,Республика Коми,2020.0,33217.0,Республика Коми,2020.0,62302.0,Республика Коми,2020.0,77678.0,Республика Коми,2020.0,127381.0,Республика Коми,2020.0,433619.0,Республика Коми,2020.0,15.3,Республика Коми,2020.0,40.1,Республика Коми,2020.0,53.3,Республика Коми,2020.0,6.6
